['지점코드', '지점명', 'AMC_보정전', 'AMC_보정후', 'AMC_변화량', 'bas_K_보정전', 'bas_K_보정후', 'bas_K_변화량', 'bas_Tl_보정전', 'bas_Tl_보정후', 'bas_Tl_변화량']

         지점코드        지점명  AMC_보정전  AMC_보정후  AMC_변화량  bas_K_보정전  bas_K_보정후  bas_K_변화량  bas_Tl_보정전  bas_Tl_보정후  bas_Tl_변화량
0   210101#01   경주시(망성교)        0        0        0     17.304    23.2142     5.9102       0.253      1.1667      0.9137
1   210101#02      형산강상류        0        0        0     17.664    26.1355     8.4715       0.675      1.8333      1.1583
2   210102#01   경주시(효현교)        0        0        0     25.237    33.8567     8.6197       0.384      1.1667      0.7827
3   210102#02         대천        0        0        0     22.592    33.4270    10.8350       1.089      2.3333      1.2443
4   210103#01      남천합류전        0        0        0     22.060    39.7026    17.6426       0.406      2.3333      1.9273
5   210104#01      덕동저수지        0        0        0     12.950    20.1111     7.1611       0.286      0.3333      0.0473
6   210105#01      보문저수지        0        0        0     10.031    16.7637     6.7327       0.319      0.3333      0.0143
7   210105#02         북천        0        0        0     14.308    26.4978    12.1898       0.489      0.5000      0.0110
8   210106#01        칠평천        0        0        0     23.014    64.2754    41.2614       0.399      0.3333     -0.0657
9   210107#01   경주시(달성교)        0        0        0     16.802    85.0601    68.2581       0.256      0.2560      0.0000
10  210107#02   안계댐수로합류전        0        0        0     32.560    90.9362    58.3762       0.922      1.0000      0.0780
11  210107#03     안계댐여수로        0        0        0      7.946    17.1667     9.2207       0.354      0.3333     -0.0207
12  210107#04      안계댐수로        0        0        0      7.267    20.2959    13.0289       0.666      0.6667      0.0007
13  210107#05        기계천        0        0        0     39.705   185.3206   145.6156       2.311      2.3333      0.0223
14  210108#01      남천합류전        0        0        0     17.144    30.8550    13.7110       1.236      3.1667      1.9307
15  210108#02   경주시(서천교)        0        0        0     18.184    58.9002    40.7162       1.203      4.3333      3.1303
16  210108#03      북천합류전        0        0        0      9.806    18.1603     8.3543       0.322      0.3333      0.0113
17  210108#04   경주시(모아리)        0        0        0     23.227    50.1802    26.9532       0.397      0.3333     -0.0637
18  210108#05     칠평천합류전        0        0        0     29.714    82.9877    53.2737       0.742      0.6667     -0.0753
19  210108#06     기계천합류전        0        0        0     23.921   111.6498    87.7288       1.329      1.3333      0.0043
20  210108#07  경주시(강동대교)        0        0        0     10.392   226.3895   215.9975       0.566      0.5000     -0.0660
21  210109#01   경주시(국당리)        0        0        0     19.143    19.1430     0.0000       0.431      0.4310      0.0000
22  210109#02   포항시(형산교)        0        0        0     21.901    21.9010     0.0000       0.407      0.4070      0.0000
23  210109#03      형산강하류        0        0        0      6.668     6.6680     0.0000       0.384      0.3840      0.0000
