대구시(신암동) | 불가 | 이상치/결측치
영천시(금창교) | 불가 | 수위-유량 곡선
영천시(영동교) | 불가 | 보운영
대구시(성하리) | 불가(본류) | 본류(보운영)
밀양시(삼랑진교) | 불가(본류) | 본류(보운영)
부산시(구포대교) | 불가(조석) | 조석
예천군(구담교) | 불가 | 수위-유량 곡선
예천군(상풍교) | 불가 | 댐운영
의성군(낙단교) | 불가(본류) | 본류(보운영)
칠곡군(호국의다리) | 불가(본류) | 본류(보운영)
함안군(계내리) | 불가(본류) | 본류(보운영)
합천군(적포교) | 불가(본류) | 본류(보운영)
산청군(경호교) | 불가 | 수위-유량 곡선
함양군(안의교) | 불가 | 이상치/결측치
봉화군(봉화대교) | 불가 | 수위-유량 곡선
청도군(매전교) | 불가 | 모형
대구시(성북교) | 불가 | 이상치/결측치
상주시(이안교) | 불가 | 수위-유량 곡선
함양군(화촌리) | 불가 | 수위-유량 곡선
영천시(단포교) | 불가 | 댐운영
김해시(정천교) | 불가 | 수위-유량 곡선
구미시(양포교) | 불가 | 이상치/결측치
함안군(서촌리) | 불가 | 수위-유량 곡선
거창군(남하교) | 불가 | 수위-유량 곡선
합천군(황강교) | 불가 | 수위-유량 곡선
태백시(문화교) | 불가 | 수위-유량 곡선
고령군(회천교) | 불가 | 수위-유량 곡선
포항시(문덕3교) | 불가 | 이상치/결측치
울산시(태화교) | 불가(조석) | 조석
경주시(달성교) | 불가 | 모형
포항시(형산교) | 불가(조석) | 조석
부산시(원동교) | 불가(조석) | 조석
울산시(덕신교) | 불가 | 이상치/결측치
